feature_a,feature_b,abs_corr
QT_IntBazett_Global,QT_IntCorr_Global,1.0
QRS_Off_Global,Q_Off_Global,1.0
HR_Ventr_Global,HR__Global,1.0
QRS_On_Global,Q_On_Global,1.0
T_Area_V3,T_AreaFull_V3,0.996806550344739
T_Area_V2,T_AreaFull_V2,0.9960007176343267
T_Area_V4,T_AreaFull_V4,0.9959185303054683
ST_Amp18_V3,ST_AmpMax_V3,0.9955188506726855
P_Dur_V6,P_DurFull_V6,0.9954309023415442
P_Area_II,P_AreaFull_II,0.9952071272648824
P_Dur_V5,P_DurFull_V5,0.9946420401647722
ST_Amp_V4,ST_AmpMin_V4,0.9943473332793288
P_Area_aVR,P_AreaFull_aVR,0.994304103474489
R_Amp_V6,Max_R_Amp_V6,0.9942965755705359
P_Area_aVF,P_AreaFull_aVF,0.9939449739754328
R_Amp_V5,Max_R_Amp_V5,0.9937177748685775
T_Area_V1,T_AreaFull_V1,0.9936518302582559
ST_Amp18_V2,ST_AmpMax_V2,0.9935971601398228
ST_Amp18_V4,ST_AmpMax_V4,0.9934559206301733
ST_Amp_V3,ST_AmpMin_V3,0.993377858961745
T_Area_V5,T_AreaFull_V5,0.9929570513144395
R_Amp_V4,Max_R_Amp_V4,0.9923216026398471
P_Area_V4,P_AreaFull_V4,0.9923181138079477
P_Dur_aVR,P_DurFull_aVR,0.9917052996238422
P_Area_V5,P_AreaFull_V5,0.9913531473100158
T_Area_I,T_AreaFull_I,0.9901059719164469
T_Area_V6,T_AreaFull_V6,0.9900777110228889
T_Area_aVL,T_AreaFull_aVL,0.9898576272501184
P_Area_V6,P_AreaFull_V6,0.9894820801552834
ST_Amp_V2,ST_AmpMin_V2,0.9893088694299346
R_Amp_I,Max_R_Amp_I,0.9889048160037297
R_Amp_V3,Max_R_Amp_V3,0.9885979045132327
T_Area_aVR,T_AreaFull_aVR,0.9885309056383358
HR_Ventr_Global,QRS_Count_Global,0.9884329870207642
QRS_Count_Global,HR__Global,0.988432987020764
P_Dur_V4,P_DurFull_V4,0.9873428278303756
P_Dur_V6,P+_Dur_V6,0.9871533117827871
T_Area_II,T_AreaFull_II,0.9866727909190607
P_Dur_II,P_DurFull_II,0.9864386347773411
R_Amp_V2,Max_R_Amp_V2,0.9853841698302215
P_DurFull_V6,P+_Dur_V6,0.9851705905537033
T_Area_III,T_AreaFull_III,0.9848811086537639
R_Amp_aVL,Max_R_Amp_aVL,0.9847699672151666
P_Area_V3,P_AreaFull_V3,0.9844681673836463
P_Dur_V5,P+_Dur_V5,0.9843573138466244
T_Area_aVF,T_AreaFull_aVF,0.9837601173566245
P_Dur_aVR,P-_Dur_aVR,0.9835207318334536
T_Area_aVL,T_Amp_aVL,0.9834832544601203
P_Area_I,P_AreaFull_I,0.9833118661993233
T_Area_I,T_Amp_I,0.9827696208031019
