,count,mean,std,min,25%,50%,75%,max
patient_id,21388.0,11210.154432391995,6240.997936673709,302.0,5915.75,11360.5,16568.25,21797.0
age,21388.0,62.60875257153544,32.23548915694559,2.0,50.0,62.0,72.0,300.0
sex,21388.0,0.48050308584252854,0.4996314060469341,0.0,0.0,0.0,1.0,1.0
strat_fold,21388.0,5.502992332148868,2.8759747188677474,1.0,3.0,6.0,8.0,10.0
P_Area_I,21388.0,0.19676879558631008,0.11002773673909616,-0.478,0.136,0.2,0.267,0.715
P_PeakTime_I,21388.0,56.63334580138395,24.265948189556156,0.0,48.0,62.0,72.0,180.0
Q_Area_I,21388.0,0.019907611744903683,0.03998863367802308,0.0,0.0,0.0,0.026,1.347
Q_PeakTime_I,21388.0,5.618851692537872,6.61806598285534,0.0,0.0,0.0,10.0,84.0
R_Area_I,21388.0,1.0637225079483823,0.6719924165678206,0.0,0.631,0.938,1.325,7.812
R_PeakTime_I,21388.0,40.92771647652889,9.704581670248253,0.0,36.0,40.0,44.0,152.0
