Feature,Importance
T_Area_V5,0.02212014853748451
T_Area_V6,0.02053526864609131
T_AreaFull_aVR,0.016961811287534673
T_AmpSpecial_V6,0.015214152364123101
T_Amp_V5,0.014377981193914873
T_AreaFull_V6,0.014264311118808886
Q_Dur_aVF,0.012773408313486969
T_AreaFull_V5,0.012624565418714031
T_AmpSpecial_aVR,0.01258058367949508
QRS_Area_II,0.012353138844819263
R_AxisFrontal_Global,0.011956963870842543
QRS_Balance_II,0.011825260799249034
ST_Amp18_V6,0.011408627277449061
T_Area_aVR,0.011008761955195063
QRS_Dur_Global,0.010939628304417918
T+_Amp_V6,0.010182324072060066
T_Area_I,0.009695974777324805
T_AreaFull_I,0.009341788562877663
Q_Area_III,0.008766560298313361
T_AmpSpecial_V5,0.008756294680929382
T-_Amp_aVR,0.008725017509969412
S_Dur_II,0.008466555177535863
S_Area_II,0.007768561020487119
R_Amp_II,0.007731538857367533
T_AmpSpecial_II,0.007332117877201797
T+_Amp_I,0.007181149525280795
Q_Area_aVF,0.006690448772599747
T+_Dur_V6,0.006586360071316303
R_Area_V2,0.006547396034352035
QRS_Area_V6,0.006497636121802138
T+_Amp_V5,0.006444515855803048
Q_PeakTime_aVF,0.006379483244564985
T_AreaFull_II,0.006328525383163317
T_Area_II,0.0063281366444333615
T+_Dur_I,0.006232298604143409
QRS_Area_V5,0.0061473721032092995
QRS_Balance_V6,0.006145342868526131
QRS_Balance_aVR,0.006120159323571775
R_Amp_V5,0.0058535106608561035
Rp_Area_V1,0.005812283723742048
QRS_Area_V1,0.005752945590627773
Max_R_Amp_II,0.00573479823446023
Max_R_Amp_V5,0.005655479611449129
S_Area_V6,0.005602176123979137
Rp_Dur_V1,0.00545364554348176
QRS_Area_aVF,0.0054107673419932735
T_AmpSpecial_V4,0.0053862257795088495
ST_Amp116_V6,0.005334471440261673
S_Dur_V6,0.005290875691153018
QRS_Balance_aVF,0.0052546318826342964
