Model,Class,Precision,Recall,F1
Baseline,NORM,0.7926720285969616,0.9210799584631361,0.8520653218059558
Baseline,MI,0.7490636704119851,0.7272727272727273,0.7380073800738007
Baseline,STTC,0.692436974789916,0.7907869481765835,0.7383512544802867
Baseline,CD,0.7687224669603524,0.7036290322580645,0.7347368421052631
Baseline,HYP,0.5622895622895623,0.6374045801526718,0.5974955277280859
Calibrated,NORM,0.7902222222222223,0.9231568016614745,0.8515325670498084
Calibrated,MI,0.7490636704119851,0.7272727272727273,0.7380073800738007
Calibrated,STTC,0.7099099099099099,0.7562380038387716,0.7323420074349443
Calibrated,CD,0.7782805429864253,0.6935483870967742,0.7334754797441365
Calibrated,HYP,0.5604026845637584,0.6374045801526718,0.5964285714285714
10-Seed Ensemble,NORM,0.7954954954954955,0.9169262720664589,0.8519054510371442
10-Seed Ensemble,MI,0.766859344894027,0.7236363636363636,0.744621141253508
10-Seed Ensemble,STTC,0.6901172529313233,0.7907869481765835,0.7370304114490162
10-Seed Ensemble,CD,0.783410138248848,0.6854838709677419,0.7311827956989247
10-Seed Ensemble,HYP,0.6121673003802282,0.6145038167938931,0.6133333333333333
