Class,Precision,Recall,F1_Score,ROC_AUC,Model
NORM,0.7926720285969616,0.9210799584631361,0.8520653218059558,0.937770304618152,Random Forest
MI,0.7490636704119851,0.7272727272727273,0.7380073800738007,0.9232903663500678,Random Forest
STTC,0.692436974789916,0.7907869481765835,0.7383512544802867,0.9290964582231669,Random Forest
CD,0.7687224669603524,0.7036290322580645,0.7347368421052631,0.9011259753115174,Random Forest
HYP,0.5622895622895623,0.6374045801526718,0.5974955277280859,0.8832958901021033,Random Forest
NORM,0.8150557620817844,0.9106957424714434,0.8602256007846983,0.9435155133235139,SVM
MI,0.7579143389199255,0.74,0.7488500459981601,0.9229132745364089,SVM
STTC,0.6631578947368421,0.8464491362763915,0.7436762225969646,0.9289024091398876,SVM
CD,0.7454909819639278,0.75,0.7477386934673367,0.9083188977524165,SVM
HYP,0.5714285714285714,0.7022900763358778,0.6301369863013698,0.9048951992140947,SVM
NORM,0.6952595936794582,0.9595015576323987,0.806282722513089,0.8413800145118332,Naive Bayes
MI,0.5735056542810986,0.6454545454545455,0.6073567151411463,0.831932383536861,Naive Bayes
STTC,0.6222222222222222,0.6986564299424184,0.6582278481012658,0.8841990111118015,Naive Bayes
CD,0.6155378486055777,0.6229838709677419,0.6192384769539078,0.8415955805287062,Naive Bayes
HYP,0.3805104408352668,0.6259541984732825,0.4733044733044733,0.8352628675878507,Naive Bayes
NORM,0.7581863979848866,0.9376947040498442,0.8384401114206128,0.9243968247761309,Logistic Regression
MI,0.6825657894736842,0.7545454545454545,0.7167530224525043,0.9091542288557214,Logistic Regression
STTC,0.6747181964573269,0.8042226487523992,0.7338003502626971,0.913109393265383,Logistic Regression
CD,0.7600849256900213,0.7217741935483871,0.7404343329886246,0.9098528298590892,Logistic Regression
HYP,0.3984526112185687,0.7862595419847328,0.5288831835686778,0.872763471510935,Logistic Regression
