,precision,recall,f1-score,support,Model
NORM,0.8772563176895307,0.7570093457943925,0.8127090301003345,963.0,RF_ClassWeight
MI,0.7799145299145299,0.6636363636363637,0.7170923379174853,550.0,RF_ClassWeight
STTC,0.7099099099099099,0.7562380038387716,0.7323420074349443,521.0,RF_ClassWeight
CD,0.8175,0.6592741935483871,0.7299107142857143,496.0,RF_ClassWeight
HYP,0.6108786610878661,0.5572519083969466,0.5828343313373253,262.0,RF_ClassWeight
NORM,0.875453446191052,0.7518172377985463,0.8089385474860336,963.0,RF_Ensemble
MI,0.8096330275229358,0.6418181818181818,0.716024340770791,550.0,RF_Ensemble
STTC,0.7251908396946565,0.7293666026871402,0.7272727272727273,521.0,RF_Ensemble
CD,0.8933333333333333,0.5403225806451613,0.6733668341708543,496.0,RF_Ensemble
HYP,0.7464788732394366,0.40458015267175573,0.5247524752475248,262.0,RF_Ensemble
