Class,Precision,Recall,F1_Score,ROC_AUC,Model
NORM,0.7926720285969616,0.9210799584631361,0.8520653218059558,0.937770304618152,Random Forest
MI,0.7490636704119851,0.7272727272727273,0.7380073800738007,0.9232903663500678,Random Forest
STTC,0.692436974789916,0.7907869481765835,0.7383512544802867,0.9290964582231669,Random Forest
CD,0.7687224669603524,0.7036290322580645,0.7347368421052631,0.9011259753115174,Random Forest
HYP,0.5622895622895623,0.6374045801526718,0.5974955277280859,0.8832958901021033,Random Forest
NORM,0.8150557620817844,0.9106957424714434,0.8602256007846983,0.9435155133235139,SVM
MI,0.7579143389199255,0.74,0.7488500459981601,0.9229132745364089,SVM
STTC,0.6631578947368421,0.8464491362763915,0.7436762225969646,0.9289024091398876,SVM
CD,0.7454909819639278,0.75,0.7477386934673367,0.9083188977524165,SVM
HYP,0.5714285714285714,0.7022900763358778,0.6301369863013698,0.9048951992140947,SVM
